user_id,age,income,gender,region,signup_date,score,num_logins,is_active,purchased,time_spent,num_clicks
1,31,66065.71579503432,Female,West,2020-01-01,0.5567424538485893,24,1,1,32.848500192836774,35.18992047508956
2,15,69802.76415080833,Other,South,2020-01-02,0.7012509821102703,32,0,0,31.80956072556456,29.25199378251505
3,28,59889.40241394534,Female,West,2020-01-03,0.7192668808171144,37,1,1,35.76275463769792,67.50498640175996
4,41,85745.42069891997,Male,North,2020-01-04,0.5409956180518847,27,0,1,42.05827141280276,67.66052704540836
5,32,82193.90263749109,Other,North,2020-01-05,0.5543133863960501,29,1,1,16.939511285383553,23.279546998713283
6,30,120533.22707009396,Other,South,2020-01-06,0.4639664607759084,16,1,1,28.469088250961715,43.54368662264149
7,25,68473.2906759037,Female,North,2020-01-07,0.4598038100453528,31,1,0,26.662496622059,41.69931158234431
8,26,81398.59560008073,Female,South,2020-01-08,0.7202576497186405,25,1,1,36.23523795085243,57.956673863900356
9,34,75207.00239439841,Other,East,2020-01-09,0.48064275915531707,33,1,0,28.36706923786134,47.0796956273381
10,34,80568.92600847043,Female,South,2020-01-10,0.6617402742727932,27,1,1,35.909389246393204,56.56874822612086
11,37,73314.06825402577,Male,South,2020-01-11,0.8709921775946199,29,1,1,37.773527456050914,60.427961700996
12,35,59197.692930657664,Male,South,2020-01-12,0.6213160433920968,26,1,1,35.30976473434424,50.82460651604734
13,32,73863.67551771295,Other,South,2020-01-13,0.5788508422098911,28,0,0,25.151337911290863,37.75778474967043
14,52,51251.37072014191,Male,West,2020-01-14,0.5716747555159322,28,1,1,23.34911322762955,49.551382281164074
15,25,54723.36614945707,Female,West,2020-01-15,0.6111739710455762,36,0,0,41.642943468513884,53.10184948916505
16,26,36619.57920432297,Male,East,2020-01-16,0.4093969591680465,23,0,0,20.617745869573895,35.095540449951834
17,27,98330.31372879709,Female,South,2020-01-17,0.8011477547083639,24,1,1,37.361018049364,43.28087629288376
18,26,85878.06914412639,Female,West,2020-01-18,0.5112676976280118,31,1,1,31.482624979310476,49.94112918064738
19,51,95396.95867203861,Male,North,2020-01-19,0.6123258288910642,28,0,1,26.43089100291526,34.83732616419771
20,37,80952.35236047229,Female,North,2020-01-20,0.6038245822539295,19,1,1,25.55090692118877,33.32413838799357
21,17,101586.64291604822,Female,North,2020-01-21,0.5935549577007876,32,1,1,22.6596465675273,31.537869007814876
22,37,65380.24313462277,Male,West,2020-01-22,0.6356239752404073,51,1,1,31.260033359682332,61.08316348983704
23,15,87732.78405498897,Male,South,2020-01-23,0.6811774509033649,41,1,1,41.46128960849901,67.23351452099193
24,51,55853.96147980297,Female,East,2020-01-24,0.48342078254188425,26,1,0,20.803388748641723,25.84070040241678
25,37,80830.26577607254,Female,North,2020-01-25,0.703869841433337,37,1,1,33.564177664809804,39.45199991002369
26,40,126110.67197443022,Female,South,2020-01-26,0.48674726440564725,26,1,1,29.63640416287039,49.77313505899468
27,49,78623.34426378834,Other,East,2020-01-27,0.6106105796731571,30,0,0,33.27913519123921,44.64247397744359
28,39,67809.74419620581,Other,East,2020-01-28,0.7569468647344628,28,1,1,35.563638340487785,64.99345373122297
29,46,38993.33108743096,Male,North,2020-01-29,0.7733108171026792,38,1,1,27.533941364134424,31.027650245321208
30,26,58881.44945614744,Other,East,2020-01-30,0.5900746890371075,28,1,1,28.399355236624242,29.54928304809426
31,31,86815.62582498515,Other,North,2020-01-31,0.49583797935650054,27,1,1,31.309970377972164,44.11919393233529
32,22,79549.86700569355,Other,East,2020-02-01,0.6533164409145207,28,1,1,24.23835632092427,41.339609551882944
33,16,78323.10518163521,Male,South,2020-02-02,0.5956101619775384,22,1,1,26.66163068412215,53.939753855288885
34,35,92062.27655978211,Male,West,2020-02-03,0.44718067052119076,33,0,0,24.981008144464642,43.75821073496104
35,24,44334.34774040861,Female,West,2020-02-04,0.4752768691367183,37,1,0,26.84984599916577,38.70831470115036
36,35,40142.87003792812,Other,West,2020-02-05,0.7613144612418102,36,0,0,33.97429692692255,56.84966562624361
37,30,37716.40998317367,Male,South,2020-02-06,0.48616141061605106,33,0,0,19.22752988350426,22.730876771344857
38,17,50545.280516539184,Male,South,2020-02-07,0.4344325834565421,26,0,0,25.755187437021934,22.7136044562329
39,39,65911.70756289862,Male,West,2020-02-08,0.6561098721169983,24,1,1,30.720578815205933,31.755448448311178
40,48,63821.75191901266,Female,South,2020-02-09,0.7201853618158282,29,1,1,40.03963251540222,54.27784490643084
41,38,45382.423196141,Female,North,2020-02-10,0.5291320845462958,40,1,1,25.29567924620231,29.116423651176888
42,9,30164.841795031076,Male,North,2020-02-11,0.6201554275977451,34,1,1,26.37242926179662,37.40996840617788
43,38,71974.59816310738,Male,East,2020-02-12,0.4588527770039672,29,1,0,22.793204792976717,37.92020310821302
44,36,90269.14400814449,Other,North,2020-02-13,0.5847149073591444,40,0,1,25.18589478638278,27.629925331884508
45,36,69180.33225984532,Female,East,2020-02-14,0.6881740212042653,30,1,1,37.69015594053142,54.37706289493252
46,21,72023.70896131685,Male,North,2020-02-15,0.5526890588515785,30,1,1,17.849369435041197,26.609650402576037
47,49,56262.993903979666,Other,South,2020-02-16,0.6195364490247653,29,1,1,28.403043754079835,45.80625827559663
48,35,112508.67636042123,Female,East,2020-02-17,0.6736001516317218,27,0,1,41.57630344445468,69.57887756216869
49,29,88850.52632216916,Male,South,2020-02-18,0.6288671980798096,30,0,1,36.717514981000186,45.353453229000806
50,35,86851.38171714824,Other,West,2020-02-19,0.6031108323056791,31,0,1,25.688050303099953,38.843080310998744
51,36,45588.479802525006,Other,North,2020-02-20,0.5314555490323868,31,1,1,16.13007586236793,29.655856350189676
52,33,57727.66259162952,Female,South,2020-02-21,0.8202537957646386,27,0,0,41.00253609667669,51.76062889542708
53,36,60462.9776783193,Female,North,2020-02-22,0.6140764214110084,39,1,1,31.216618241629234,33.261271442637835
54,40,58737.39531162138,Male,North,2020-02-23,0.3440411770865386,32,1,0,22.738369755887753,29.114198499129394
55,25,73329.75163164316,Other,East,2020-02-24,0.459634418504449,32,0,0,26.349453011003963,59.416248556959616
56,28,74410.14850257999,Other,West,2020-02-25,0.5702909346839237,30,0,0,25.982026355611872,51.957899397394826
57,29,90833.13099845823,Female,West,2020-02-26,0.4794860143687323,28,1,1,21.817392178135798,39.33983316548902
58,42,32723.339503212188,Other,North,2020-02-27,0.4059248186008177,27,0,0,14.761645106336776,3.3426820193644886
59,30,90836.96291133882,Male,North,2020-02-28,0.5003355097354091,31,0,1,41.77498017933418,56.82607658930516
60,26,79634.83363150214,Other,East,2020-02-29,0.500582629367749,31,0,0,23.627999950505544,44.576831365716146
61,33,73192.57869326885,Male,North,2020-03-01,0.6587927341563569,30,0,0,29.73987878394836,54.56465931211166
